id,file,engine_id,sensor,extractor,n_mentions,context,human
1,traces_FD003_zero_shot_k0_n30.json,89,s11,stable,1,"... (trend: 0.217 -> 0.280), indicating potential wear on the engine's components. Conversely, degradation-related sensors s11 (trend: 0.257 -> 0.309) and s12 (trend: 0.253 -> 0.395) exhibit a steady increase in values, suggesting advanced wear and tear on the engine's mechanical syste...",increase
2,traces_FD003_zero_shot_k0.json,40,s14,increase,1,"...ase in s11, s12, and s15, indicating advanced wear and potential failure. Conversely, efficiency-related sensors s9 and s14 exhibit decreasing values, further supporting the trend of increasing degradation. Additionally, the variance in some sensors (e.g., s8) is increasing, suggest...",decrease
3,traces_FD003_zero_shot_k0.json,4,s12,increase,1,"The sensor readings show a consistent trend of increasing values for s11, s12, and s15, indicating advanced wear. Conversely, efficiency-related sensors s9 and s14 exhibit decreasing values, further supporting the indication of impending...",increase
4,traces_FD001_zero_shot_k0_n30_run3.json,72,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.500 at t-1) and s12 (0.593 at t-1). Conversely, efficiency-related sensors like s9 (0.226 at t-1) and s14 (0.255 at t-1) are trending downwards, indicating ...",increase
5,traces_FD003_zero_shot_k0_n15.json,33,s15,unspecified,1,"The sensor readings indicate a gradual increase in degradation-related sensors such as s11, s12, and s15, suggesting advanced wear. Additionally, efficiency-related sensors like s9 and s14 show decreasing values, further indicating approaching failure. The varianc...",increase
6,traces_FD001_zero_shot_k0_n15.json,3,s9,stable,1,"...613 to 0.613) and s12 (0.505 to 0.456), indicating a trend towards failure. Conversely, efficiency-related sensors like s9 (0.129 to 0.124) and s14 (0.158 to 0.163) are showing relatively stable or decreasing values, suggesting that the engine's performance is being compromised by ...",ambiguous
7,traces_FD001_zero_shot_k0_n30_run3.json,44,s11,increase,1,"The turbofan engine is showing signs of advanced wear, with increasing values in degradation-related sensors such as s11 (0.399 at t-1) and s12 (0.648 at t-1). Additionally, there is a noticeable decrease in efficiency-related sensors like s9 (0.162 at t-1) and s14 (0.163 at t-1)...",increase
8,traces_FD001_few_shot_k3_n15.json,30,s12,absent,0,,absent
9,traces_FD001_zero_shot_k0_n30_run3.json,90,s9,decrease,1,"...ensors such as s11 (trend: 0.720 -> 0.685) and s12 (trend: 0.591 -> 0.561). Conversely, efficiency-related sensors like s9 and s14 are decreasing, indicating a decline in performance. The overall trend suggests that the engine is approaching failure within the next few cycles.",decrease
10,traces_FD003_zero_shot_k0.json,85,s12,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. Additionally, increasing variance is obser...",increase
11,traces_FD001_zero_shot_k0_n30_run3.json,39,s12,increase,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Meanwhile, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. These trends suggest that the engine is app...",increase
12,traces_FD003_zero_shot_k0_n15.json,42,s14,decrease,1,"The sensor readings show a gradual increase in s11, s12, and s15, indicating advanced wear. Conversely, s9 and s14 exhibit decreasing values, suggesting reduced efficiency. The overall trend suggests that the engine is approaching failure, with increasing variance and monot...",decrease
13,traces_FD003_few_shot_k10_n15.json,65,s9,unspecified,1,"...it appears that the engine is experiencing advanced wear, particularly in the efficiency sensors. The values for s8 and s9 are consistently low, indicating a potential issue with fuel flow or combustion.",unspecified
14,traces_FD003_zero_shot_k0_n15.json,15,s12,increase,1,"The sensor readings indicate a gradual increase in degradation-related sensors such as s11, s12, and s15, suggesting advanced wear. Meanwhile, efficiency-related sensors like s9 and s14 show relatively stable or slightly decreasing values, which is consis...",increase
15,traces_FD003_zero_shot_k0.json,42,s9,decrease,1,"...ng values for s11, s12, and s15, indicating advanced wear and potential failure. Conversely, efficiency-related sensors s9 and s14 exhibit decreasing values, further supporting the degradation pattern. Additionally, the variance in some sensor readings (e.g., s2, s3) suggests an ap...",decrease
16,traces_FD003_few_shot_k10.json,93,s7,unspecified,1,"The engine's sensor readings show a pattern of advanced wear, with significant deviations in efficiency sensors (s7 and s8) across multiple cycles. This is consistent with the patterns observed in Examples 1-3, which all had true RUL of 0.",unspecified
17,traces_FD001_few_shot_k10_n15.json,33,s4,absent,0,,absent
18,traces_FD001_few_shot_k5.json,71,s11,unspecified,1,"...moderate wear, with significant deviations in efficiency sensors (s7 and s8) and some anomalies in temperature sensors (s11 and s12). However, the deviations are not as pronounced as in Example 1, suggesting a less advanced stage of wear.",unspecified
